Channel_1.Device_1.Bool_1;1000;False;True;Unknow
Channel_1.Device_1.Tag_1;1000;0;0;Unknow
Channel_1.Device_1.Tag_2;1000;0;0;Unknow
Channel_1.Device_1.Tag_3;1000;0;0;Unknow
Channel_1.Device_1.Tag_4;1000;0;0;Unknow
Channel_1.Device_1.Tag_5;1000;0;0;Unknow
Channel1.Device1.Tag1;1000;0;0;Unknow
Channel1.Device1.Tag2;1000;0;0;Unknow
S7 [S7_connection_52]DB800,X0.2;1000;0;0;Unknow
S7:[S7 connection_52]DB800,X0.0;1000;0;0;Unknow
S7:[S7 connection_52]DB800,X0.1;1000;0;0;Unknow
S7:[S7 connection_52]DB800,X2.4;1000;0;0;Unknow
S7:[S7 connection_52]DB800,X0.2;1000;0;0;Unknow
S7:[S7 connection_52]DB800,X16.0;1000;0;0;Unknow
S7:[S7 connection_52]DB800,X2.0;1000;0;0;Unknow
S7:[S7 connection_52]DB800,X2.1;1000;0;0;Unknow
S7:[S7 connection_52]DB800,X2.2;1000;0;0;Unknow
S7:[S7 connection_52]DB800,X2.5;1000;0;0;Unknow
S7:[S7 connection_52]DB800,X2.3;1000;0;0;Unknow
S7:[S7 connection_52]DB800,X16.1;1000;0;0;Unknow
S7:[S7 connection_52]DB800,INT18;1000;0;0;Unknow
S7:[S7 connection_52]DB800,STRING4.10;1000;0;0;Unknow
S7:[S7 connection_52]DB800,REAL154;1000;0;0;Unknow
S7:[S7 connection_52]DB800,INT20;1000;0;0;Unknow
S7:[S7 connection_52]DB800,INT22;1000;0;0;Unknow
S7:[S7 connection_52]DB800,STRING24.13;1000;0;0;Unknow
S7:[S7 connection_52]DB800,B148;1000;0;0;Unknow
S7:[S7 connection_52]DB800,B149;1000;0;0;Unknow
S7:[S7 connection_52]DB800,REAL150;1000;0;0;Unknow
S7:[S7 connection_52]DB801,STRING166.13;1000;0;0;Unknow
S7:[S7 connection_52]DB801,B182;1000;0;0;Unknow
S7:[S7 connection_52]DB801,B183;1000;0;0;Unknow
S7:[S7 connection_52]DB801,REAL184;1000;0;0;Unknow
S7:[S7 connection_52]DB801,REAL188;1000;0;0;Unknow
S7:[S7 connection_52]DB801,STRING192.13;1000;0;0;Unknow
S7:[S7 connection_52]DB801,B208;1000;0;0;Unknow
S7:[S7 connection_52]DB801,B209;1000;0;0;Unknow
S7:[S7 connection_52]DB801,REAL210;1000;0;0;Unknow
S7:[S7 connection_52]DB801,REAL214;1000;0;0;Unknow
S7:[S7 connection_52]DB801,STRING218.13;1000;0;0;Unknow
S7:[S7 connection_52]DB801,B234;1000;0;0;Unknow
S7:[S7 connection_52]DB801,B235;1000;0;0;Unknow
S7:[S7 connection_52]DB801,REAL236;1000;0;0;Unknow
S7:[S7 connection_52]DB801,REAL240;1000;0;0;Unknow
S7:[S7 connection_52]DB801,STRING244.13;1000;0;0;Unknow
S7:[S7 connection_52]DB801,B260;1000;0;0;Unknow
S7:[S7 connection_52]DB801,B261;1000;0;0;Unknow
S7:[S7 connection_52]DB801,REAL262;1000;0;0;Unknow
S7:[S7 connection_52]DB801,REAL266;1000;0;0;Unknow
S7:[S7 connection_52]DB801,STRING270.13;1000;0;0;Unknow
S7:[S7 connection_52]DB801,B286;1000;0;0;Unknow
S7:[S7 connection_52]DB801,B287;1000;0;0;Unknow
S7:[S7 connection_52]DB801,REAL288;1000;0;0;Unknow
S7:[S7 connection_52]DB801,REAL292;1000;0;0;Unknow
S7:[S7 connection_52]DB801,STRING296.13;1000;0;0;Unknow
S7:[S7 connection_52]DB801,B312;1000;0;0;Unknow
S7:[S7 connection_52]DB801,B313;1000;0;0;Unknow
S7:[S7 connection_52]DB801,REAL314;1000;0;0;Unknow
S7:[S7 connection_52]DB801,REAL318;1000;0;0;Unknow
S7:[S7 connection_52]DB801,STRING322.13;1000;0;0;Unknow
S7:[S7 connection_52]DB801,B338;1000;0;0;Unknow
S7:[S7 connection_52]DB801,B339;1000;0;0;Unknow
S7:[S7 connection_52]DB801,REAL340;1000;0;0;Unknow
S7:[S7 connection_52]DB801,REAL344;1000;0;0;Unknow
S7:[S7 connection_52]DB801,STRING348.13;1000;0;0;Unknow
S7:[S7 connection_52]DB801,B364;1000;0;0;Unknow
S7:[S7 connection_52]DB801,B365;1000;0;0;Unknow
S7:[S7 connection_52]DB801,REAL366;1000;0;0;Unknow
S7:[S7 connection_52]DB801,REAL370;1000;0;0;Unknow
S7:[S7 connection_52]DB801,STRING374.13;1000;0;0;Unknow
S7:[S7 connection_52]DB801,B390;1000;0;0;Unknow
S7:[S7 connection_52]DB801,B391;1000;0;0;Unknow
S7:[S7 connection_52]DB801,REAL392;1000;0;0;Unknow
S7:[S7 connection_52]DB801,REAL396;1000;0;0;Unknow
